Comment,Designator,Footprint,LCSC
1k,"R3,R6,R7",R_0402_1005Metric,C11702
100nF,"C10,C11,C12,C13,C14,C15,C16,C17,C2,C3",C_0402_1005Metric,C1525
10uF,C7,C_0402_1005Metric,C15525
22pF,"C5,C6",C_0402_1005Metric,C1555
Conn_01x04_Male,J3,JST-SR-4,C160404
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
RP2040,U1,RP2040-QFN-56,C2040
27R,"R1,R2",R_0603_1608Metric,C25190
5k1,"R4,R5",R_0402_1005Metric,C25905
USBLC6-2SC6,U4,SOT-23-6,C2827654
Boot,"SW46,SW47",SW_SPST_TL3342,C318884
1uF,"C1,C4,C8,C9",C_0402_1005Metric,C52923
XC6206PxxxMR,U2,SOT-23,C5446
D_Small,"D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D5,D6,D7,D8,D9",D_SOD-123F,C64898
500mA,F1,Fuse_1206_3216Metric,C70076
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U3,SOIC-8_5.23x5.23mm_P1.27mm,C97521
SW_Push_45deg,SW23,MXOnly-1U-Hotswap,
SW_Push_45deg,SW42,MXOnly-1U-Hotswap,
SW_Push_45deg,SW43,MXOnly-1.5U-Hotswap,
SW_Push_45deg,SW13(1.5)1,MXOnly-1.5U-Hotswap,
SW_Push_45deg,SW37(1.75)1,MXOnly-1.75U-Hotswap,
SW_Push_45deg,SW25,MXOnly-2.25U-Hotswap,
SW_Push_45deg,SW21,MXOnly-1U-Hotswap,
SW_Push_45deg,SW15,MXOnly-1U-Hotswap,
SW_Push_45deg,SW7,MXOnly-1U-Hotswap,
SW_Push_45deg,SW34,MXOnly-1U-Hotswap,
SW_Push_45deg,SW9,MXOnly-1U-Hotswap,
SW_Push_45deg,SW30,MXOnly-1U-Hotswap,
SW_Push_45deg,SW19,MXOnly-1U-Hotswap,
SW_Push_45deg,SW14(1.25)1,MXOnly-1.25U-Hotswap,
SW_Push_45deg,SW44,MXOnly-3U-Hotswap-ReversedStabilizers,
SW_Push_45deg,SW45,MXOnly-3U-Hotswap-ReversedStabilizers,
SW_Push_45deg,SW33,MXOnly-1U-Hotswap,
SW_Push_45deg,SW32,MXOnly-1U-Hotswap,
SW_Push_45deg,SW36,MXOnly-1U-Hotswap,
SW_Push_45deg,SW4,MXOnly-1U-Hotswap,
SW_Push_45deg,SW5,MXOnly-1U-Hotswap,
SW_Push_45deg,SW16,MXOnly-1U-Hotswap,
SW_Push_45deg,SW37(2.75)1,MXOnly-2.75U-Hotswap,
SW_Push_45deg,SW17,MXOnly-1U-Hotswap,
SW_Push_45deg,SW18,MXOnly-1U-Hotswap,
SW_Push_45deg,SW35,MXOnly-1U-Hotswap,
SW_Push_45deg,SW39,MXOnly-1.5U-Hotswap,
SW_Push_45deg,SW40,MXOnly-1U-Hotswap,
SW_Push_45deg,SW31,MXOnly-1U-Hotswap,
SW_Push_45deg,SW8,MXOnly-1U-Hotswap,
SW_Push_45deg,SW12,MXOnly-1U-Hotswap,
SW_Push_45deg,SW41,MXOnly-7U-Hotswap-ReversedStabilizers,
SW_Push_45deg,SW11,MXOnly-1U-Hotswap,
SW_Push_45deg,SW28,MXOnly-1U-Hotswap,
SW_Push_45deg,SW3,MXOnly-1U-Hotswap,
SW_Push_45deg,SW1,MXOnly-1.5U-Hotswap,
SW_Push_45deg,SW10,MXOnly-1U-Hotswap,
SW_Push_45deg,SW13,MXOnly-1U-Hotswap,
SW_Push_45deg,SW27,MXOnly-1U-Hotswap,
SW_Push_45deg,SW22,MXOnly-1U-Hotswap,
SW_Push_45deg,SW6,MXOnly-1U-Hotswap,
SW_Push_45deg,SW24,MXOnly-1U-Hotswap,
SW_Push_45deg,SW29,MXOnly-1U-Hotswap,
SW_Push_45deg,SW20,MXOnly-1U-Hotswap,
SW_Push_45deg,SW14,MXOnly-1.75U-Hotswap,
SW_Push_45deg,SW2,MXOnly-1U-Hotswap,
SW_Push_45deg,SW12(1.5)1,MXOnly-1.5U-Hotswap,
SW_Push_45deg,SW26,MXOnly-2.25U-Hotswap,
SWD,J2,PinSocket_1x05_P2.54mm_Vertical,
